Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Material,Occasion,Pattern,Sole Material,Sustainable,Type,Warranty,BIS Certificate Image URL,BIS Certificate Number,BIS Expiry Date,Character,Contact Brand or Retailer for pre-sales product queries
Woodland,Men Printed Thong Flip-Flops,₹349,MRP ₹499,(30% OFF),4.6,16 Ratings,"A pair of navy blue printed thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 15 days
Warranty provided by brand owner/manufacturer
Warranty not applicable on strap related defects and inconsistencies",Synthetic,Casual,Printed,EVA,Regular,Thong Flip-Flops,15 days,https://assets.myntassets.com/assets/images/2024/8/26/67cb2dc2-cb5c-41ba-bcd7-763a575a38f31724646282456-Myntra-Declaration_page-0001.jpg,1234567,31/07/2026,,
Action,Men Slip On Flip Flops,₹629,MRP ₹1499,(58% OFF),4,176 Ratings,"A pair of black solid slip on flip flops
Rubber upper
Cushioned footbed
Textured and patterned EVA outsole",Rubber,Casual,Solid,EVA,Regular,Clogs,,,,,,
Red Tape,Men Thong Flip-Flops,₹979,MRP ₹3499,(72% OFF),4.3,114 Ratings,"A pair of rust and black solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand manufacturer",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,45 days,,,,,
Big Fox,Men Thong Flip-Flops,₹949,MRP ₹2499,(62% OFF),4.1,132 Ratings,"A pair of tan and black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Layasa,Layasa Men Thong Flip-Flops,₹699,MRP ₹999,(30% OFF),4.1,91 Ratings,"A pair of black solid sliders
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Sliders,,,,,,
max,Men Solid Thong Flip-Flops,₹349,MRP ₹399,(Rs. 50 OFF),4,1.6k Ratings,"A pair of white solid thong flip-flops
PU upper
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Solid,Synthetic,Regular,Thong Flip-Flops,,,,,,
max,Men Textured Thong Flip-Flops,₹369,MRP ₹399,(Rs. 30 OFF),4.2,206 Ratings,"A pair of navy blue textured thong flip-flops
Pu upper
Cushioned footbed
Patterned pvc outsole",PU,Casual,Solid,PVC,Regular,Thong Flip-Flops,,,,,,
AfroJack,Men Leather Thong Flip-Flops,₹999,MRP ₹4995,(80% OFF),4,87 Ratings,"A pair of black and brown buckle detailed thong flip-flops
Pu upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",PU,Casual,Printed,EVA,Regular,Thong Flip-Flops,1 month,,,,,
Woodland,Men Printed Thong Flip-Flops,₹349,MRP ₹499,(30% OFF),4.4,5 Ratings,"A pair of black and blue printed thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 15 days
Warranty provided by brand owner/manufacturer
Warranty not applicable on strap related defects and inconsistencies",Synthetic,Casual,Printed,EVA,Regular,Thong Flip-Flops,15 days,https://assets.myntassets.com/assets/images/2024/8/26/67cb2dc2-cb5c-41ba-bcd7-763a575a38f31724646282456-Myntra-Declaration_page-0001.jpg,1234567,31/07/2026,,
max,Men Textured Thong Flip-Flops,₹369,MRP ₹399,(Rs. 30 OFF),4.2,207 Ratings,"A pair of grey textured thong flip-flops
PU upper
Cushioned footbed
Patterned pvc outsole",PU,Casual,Solid,PVC,Regular,Thong Flip-Flops,,,,,,
Red Tape,Men Thong Flip-Flops,₹989,MRP ₹3299,(70% OFF),3.8,58 Ratings,"A pair of black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer

Features:
Lightweight comfort meets durable design
Primary focus: A flat sole with relaxing slip-ons, gives the user unimaginable love with this pair.
Built: With EVA sole built, these flip flops are best for your casual walks.
Surface grip: These slip-on flip-flops with EVA sole built are perfect for your everyday walks and comfort, with a great ground grip to support everyday chores and hangouts.
Amazing finish: With the soft ease and a pretty touch, this pair will make the perfect fashion statement for everyday looks.",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,45 days,,,,,
Action EVA Flotter,Men Thong Flip-Flops,₹614,MRP ₹1499,(59% OFF),4.3,112 Ratings,"A pair of blue solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Bata,Men Textured Thong Flip-Flops,₹849,MRP ₹999,(15% OFF),4.1,122 Ratings,"A pair of tan brown textured thong flip-flops
Pu upper
Cushioned footbed
Patterned tpr outsole",PU,Casual,Solid,TPR,Regular,Thong Flip-Flops,,,,,,
max,Men Brown Flip Flops,₹349,MRP ₹399,(Rs. 50 OFF),4,1.6k Ratings,"A pair of brown Flip Flops
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Synthetic,Casual,Solid,Synthetic,Regular,Slip-On,,,,,,
Layasa,Men Thong Flip Flops,₹699,MRP ₹999,(30% OFF),4.1,95 Ratings,"A pair of brown and black solid sliders
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Sliders,,,,,,
BUCIK,Men Thong Flip-Flops,₹725,MRP ₹3299,(78% OFF),4,33 Ratings,"A pair of rust solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole",Synthetic,Casual,Solid,Rubber,Regular,Thong Flip-Flops,,,,,,
AfroJack,Men Thong Flip-Flops,₹1199,MRP ₹5995,(80% OFF),3.3,11 Ratings,"A pair of black solid thong flip-flops
Pu upper
Cushioned footbed
Patterned rubber outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",PU,Casual,Solid,Rubber,Regular,Thong Flip-Flops,1 month,,,,,
Action EVA Flotter,Men Thong Flip-Flops,₹614,MRP ₹1499,(59% OFF),4.3,115 Ratings,"A pair of grey solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Sparx,Men Colourblocked Thong Flip-Flops,₹399,MRP ₹499,(20% OFF),4.1,252 Ratings,"A pair of navy blue and white colourblocked thong flip-flops
Fabric upper
Cushioned footbed
Patterned rubber outsole",Fabric,Casual,Colourblocked,Rubber,Regular,Thong Flip-Flops,,https://assets.myntassets.com/assets/images/2024/8/23/ec6080a9-602c-455e-a49d-ed2018509e3c1724390496589-SCAN-Myntra-BIS-Declaration--2-_page-0001.jpg,1234567,31/07/2026,,
Roadster,Men Brown Flip-Flops,₹799,MRP ₹2599,(Rs. 1800 OFF),4,654 Ratings,"A pair of brown flip-flops
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months",Synthetic,Casual,Solid,Rubber,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/15/a3a4cddb-a915-4492-abb7-755375e946a51723713711831-BIS.jpg,8800133414,03/07/2025,,
Big Fox,Men Thong Flip-Flops,₹850,MRP ₹2299,(63% OFF),3.9,986 Ratings,"A pair of solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,1 month,,,,,
WROGN,Men Thong Flip-Flops,₹386,MRP ₹899,(57% OFF),4,28 Ratings,"A pair of black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned TPR outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,TPR,Regular,Thong Flip-Flops,3 months,,,,,
Sparx,Men Printed Thong Flip-Flops,₹314,MRP ₹349,(10% OFF),3.9,117 Ratings,"A pair of navy blue,yellow and black printed thong flip-flops
Fabric upper
Cushioned footbed
Patterned rubber outsole",Fabric,Casual,Printed,Rubber,Regular,Thong Flip-Flops,,,,,,
Layasa,Men Thong Flip-Flops,₹699,MRP ₹999,(30% OFF),4,50 Ratings,"A pair of black and cream-coloured solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Thong Flip-Flops,,,,,,
Sparx,Men Striped Thong Flip-Flops,₹449,MRP ₹499,(10% OFF),4.2,229 Ratings,"A pair of grey striped thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole",Synthetic,Casual,Striped,EVA,Regular,Thong Flip-Flops,,https://assets.myntassets.com/assets/images/2024/8/23/ec6080a9-602c-455e-a49d-ed2018509e3c1724390496589-SCAN-Myntra-BIS-Declaration--2-_page-0001.jpg,1234567,31/07/2026,,
ADIDAS,Men MISTICO Thong Flip-Flops,₹639,MRP ₹1599,(60% OFF),4.5,55 Ratings,"A pair of orange and black solid thong flip-flops
Fabric upper
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Fabric,Casual,Solid,EVA,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/14/a8f2c638-fe53-438b-9651-99c95e17a3d41723640704524-BIS-Declaration-Myntra-13082024--1---1-_page-0001.jpg,1234567,31/07/2026,,
Cantabil,Men Rubber Thong Flip-Flops,₹499,MRP ₹999,(50% OFF),4.3,57 Ratings,"A pair of solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Solid,Rubber,Regular,Thong Flip-Flops,,,,,,
Bata,Men Textured Thong Flip-Flops,₹849,MRP ₹999,(15% OFF),4.1,122 Ratings,"A pair of tan brown textured thong flip-flops
Pu upper
Cushioned footbed
Patterned tpr outsole",PU,Casual,Solid,TPR,Regular,Thong Flip-Flops,,,,,,
Red Tape,Men Open Toe Sliders,₹899,MRP ₹2999,(70% OFF),4,183 Ratings,"A pair of black sliders
Pu upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer",PU,Casual,Solid,EVA,Regular,Sliders,45 days,,,,,
max,Men Brown Flip Flops,₹349,MRP ₹399,(Rs. 50 OFF),4,1.6k Ratings,"A pair of brown Flip Flops
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Synthetic,Casual,Solid,Synthetic,Regular,Slip-On,,,,,,
DOCTOR EXTRA SOFT,Men Ultra Soft Lightweight Rubber Sliders,₹799,MRP ₹1799,(Rs. 1000 OFF),4.3,802 Ratings,"A pair of black solid sliders
Rubber upper
Cushioned footbed
Patterned EVA outsole
Features:
super soft experience
Light as a feather High quality
UltraSoft and lightweight
Non-slip upgraded outsole anti skid
Walking sole non-slip texture walk silently",Rubber,Casual,Solid,EVA,Regular,Sliders,,,,,,
Layasa,Men Thong Flip Flops,₹699,MRP ₹999,(30% OFF),4.1,95 Ratings,"A pair of brown and black solid sliders
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Sliders,,,,,,
BUCIK,Men Thong Flip-Flops,₹725,MRP ₹3299,(78% OFF),4,33 Ratings,"A pair of rust solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole",Synthetic,Casual,Solid,Rubber,Regular,Thong Flip-Flops,,,,,,
Puma,Men Grey Galaxy Comfort V4 Thong Flip-Flops,₹1609,MRP ₹2299,(30% OFF),4,734 Ratings,"PRODUCT DESIGN DETAILS:
A pair of grey solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer
PRODUCT STORY :
Introducing Galaxy Comfort Slippers with EVA outsole and PU strap with contrast colour combination for everyday outdoor strolls. Enhancing the design is the PUMA cat logo on the strap. The Galaxy Comfort Slippers embody the plush wearable comfort and finest design.",Synthetic,Casual,Solid,Rubber,Regular,Thong Flip-Flops,3 months,,,,,
AfroJack,Men Thong Flip-Flops,₹1199,MRP ₹5995,(80% OFF),3.3,11 Ratings,"A pair of black solid thong flip-flops
Pu upper
Cushioned footbed
Patterned rubber outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",PU,Casual,Solid,Rubber,Regular,Thong Flip-Flops,1 month,,,,,
Action EVA Flotter,Men Thong Flip-Flops,₹614,MRP ₹1499,(59% OFF),4.3,115 Ratings,"A pair of grey solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Sparx,Men Colourblocked Thong Flip-Flops,₹399,MRP ₹499,(20% OFF),4.1,252 Ratings,"A pair of navy blue and white colourblocked thong flip-flops
Fabric upper
Cushioned footbed
Patterned rubber outsole",Fabric,Casual,Colourblocked,Rubber,Regular,Thong Flip-Flops,,https://assets.myntassets.com/assets/images/2024/8/23/ec6080a9-602c-455e-a49d-ed2018509e3c1724390496589-SCAN-Myntra-BIS-Declaration--2-_page-0001.jpg,1234567,31/07/2026,,
Roadster,Men Brown Flip-Flops,₹799,MRP ₹2599,(Rs. 1800 OFF),4,654 Ratings,"A pair of brown flip-flops
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months",Synthetic,Casual,Solid,Rubber,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/15/a3a4cddb-a915-4492-abb7-755375e946a51723713711831-BIS.jpg,8800133414,03/07/2025,,
Big Fox,Men Thong Flip-Flops,₹850,MRP ₹2299,(63% OFF),3.9,986 Ratings,"A pair of solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,1 month,,,,,
WROGN,Men Thong Flip-Flops,₹386,MRP ₹899,(57% OFF),4,28 Ratings,"A pair of black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned TPR outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,TPR,Regular,Thong Flip-Flops,3 months,,,,,
Puma,Men Black Ketava Duo v7 Thong Flip-Flops,₹1189,MRP ₹1699,(30% OFF),4.4,270 Ratings,"PRODUCT DESIGN DETAILS:
A pair of black printed thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer

PRODUCT STORY :
The Ketava Men's Slippers are designed with synthetic sole and EVA midsole which makes it light to wear and at the same time durable. The synthetic leather upper makes it water-resistant and adds to the style quotient.",Synthetic,Casual,Printed,Rubber,Regular,Thong Flip-Flops,3 months,,,,,
Sparx,Men Printed Thong Flip-Flops,₹314,MRP ₹349,(10% OFF),3.9,117 Ratings,"A pair of navy blue,yellow and black printed thong flip-flops
Fabric upper
Cushioned footbed
Patterned rubber outsole",Fabric,Casual,Printed,Rubber,Regular,Thong Flip-Flops,,,,,,
Layasa,Men Thong Flip-Flops,₹699,MRP ₹999,(30% OFF),4,50 Ratings,"A pair of black and cream-coloured solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Thong Flip-Flops,,,,,,
Sparx,Men Striped Thong Flip-Flops,₹449,MRP ₹499,(10% OFF),4.2,229 Ratings,"A pair of grey striped thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole",Synthetic,Casual,Striped,EVA,Regular,Thong Flip-Flops,,https://assets.myntassets.com/assets/images/2024/8/23/ec6080a9-602c-455e-a49d-ed2018509e3c1724390496589-SCAN-Myntra-BIS-Declaration--2-_page-0001.jpg,1234567,31/07/2026,,
ADIDAS,Men MISTICO Thong Flip-Flops,₹639,MRP ₹1599,(60% OFF),4.5,55 Ratings,"A pair of orange and black solid thong flip-flops
Fabric upper
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Fabric,Casual,Solid,EVA,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/14/a8f2c638-fe53-438b-9651-99c95e17a3d41723640704524-BIS-Declaration-Myntra-13082024--1---1-_page-0001.jpg,1234567,31/07/2026,,
DOCTOR EXTRA SOFT,Men Ultra Soft Lightweight Rubber Sliders,₹799,MRP ₹1799,(Rs. 1000 OFF),4.3,796 Ratings,"A pair of olive green solid sliders
Rubber upper
Cushioned footbed
Patterned EVA outsole
Features:
super soft experience
Light as a feather High quality
UltraSoft and lightweight
Non-slip upgraded outsole anti skid
Walking sole non-slip texture walk silently",Rubber,Casual,Solid,EVA,Regular,Sliders,,,,,,
Cantabil,Men Rubber Thong Flip-Flops,₹499,MRP ₹999,(50% OFF),4.3,57 Ratings,"A pair of solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Solid,Rubber,Regular,Thong Flip-Flops,,,,,,
DOCTOR EXTRA SOFT,Men Ultra Soft Lightweight Rubber Sliders,₹799,MRP ₹1799,(Rs. 1000 OFF),4.3,796 Ratings,"A pair of grey solid sliders
Rubber upper
Cushioned footbed
Patterned EVA outsole
Features:
super soft experience
Light as a feather High quality
UltraSoft and lightweight
Non-slip upgraded outsole anti skid
Walking sole non-slip texture walk silently",Rubber,Casual,Solid,EVA,Regular,Sliders,,,,,,
ADIDAS,Men MISTICO Thong Flip-Flops,₹639,MRP ₹1599,(60% OFF),4.5,55 Ratings,"A pair of blue solid thong flip-flops
Fabric upper
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Fabric,Casual,Solid,EVA,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/14/a8f2c638-fe53-438b-9651-99c95e17a3d41723640704524-BIS-Declaration-Myntra-13082024--1---1-_page-0001.jpg,1234567,31/07/2026,,
Red Tape,Men Printed Sliders,₹969,MRP ₹3729,(74% OFF),4.2,177 Ratings,"A pair of olive green and brown printed sliders
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand/manufacturer",Rubber,Casual,Printed,EVA,Regular,Sliders,45 days,,,,,
ONSOLE,Men Thong Flip-Flops,₹649,MRP ₹1299,(50% OFF),4.4,36 Ratings,"A pair of teal and white solid Room Slippers
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,EVA,Regular,Room Slippers,1 month,,,,,
Action EVA Flotter,Men Thong Flip-Flops,₹614,MRP ₹1499,(59% OFF),4.3,118 Ratings,"A pair of black and grey solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
ID,iD Men Blue Flip Flop Slipper,₹1492,MRP ₹2985,(Rs. 1493 OFF),4,53 Ratings,"A pair of navy blue and brown colourblocked flip flops
Synthetic upper material
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Colourblocked,TPR,Regular,Thong Flip-Flops,,,,,,
Layasa,Men Thong Flip-Flops,₹699,MRP ₹999,(30% OFF),3.9,45 Ratings,"A pair of tan brown and black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Thong Flip-Flops,,,,,,
NEOZ,Men Textured Thong Flip-Flops,₹899,MRP ₹1999,(55% OFF),4.2,11 Ratings,"A pair of grey Textured thong flip-flops
Synthetic upper
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Self Design,Synthetic,Regular,Thong Flip-Flops,,,,,,
DOCTOR EXTRA SOFT,Men Lightweight Croslite Clogs,₹799,MRP ₹1799,(Rs. 1000 OFF),4.4,1.2k Ratings,"A pair of Navy blue clogs
Croslite upper 
Cushioned footed
EVA outsole

Features :
Ventilation holes for breathability and comfort on summer holidays
Optional-use strap for Versatility
Grippy soles are ideal on wet and slippery surfaces
Grippy Soles
Optional use strap
Lightweight
Comfort brethable
Easy to clean",Croslite,Casual,Solid,EVA,Regular,Clogs,,,,,,
Layasa,Men Thong Flip-Flops,₹699,MRP ₹999,(30% OFF),4.1,93 Ratings,"A pair of tan brown solid slip-on
Synthetic upper
Cushioned footbed
Patterned tpr outsole",Synthetic,Casual,Solid,TPR,Regular,Slip-On,,,,,,
yoho,Men Textured Thong Flip-Flops,₹695,MRP ₹1449,(52% OFF),3.9,309 Ratings,"A pair of beige textured thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 7 days
Warranty provided by brand/manufacturer",Synthetic,Casual,Self Design,EVA,Regular,Thong Flip-Flops,7 days,,,,,
DOCTOR EXTRA SOFT,Men Rubber Sliders,₹899,MRP ₹2799,(Rs. 1900 OFF),4.1,218 Ratings,"A pair of grey and fluorescent green solid sliders
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Sliders,,,,,,
DOCTOR EXTRA SOFT,Men Printed Orthopedic Non-Slip Thong Flip-Flops,₹499,MRP ₹999,(Rs. 500 OFF),4.3,460 Ratings,"A pair of black and white printed thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole

Features:
Orthopedic non-slip specially designed doctor extra soft sole
Extra soft padded cushion reduces stress and provides full day comfort.
Eva towel effect upper for stylish look and extra comfort.
Pain relief orthopedic diabetic footwear for all kinds of casual activities
Special soft sweat free woven thong for better grip",Synthetic,Casual,Printed,EVA,Regular,Thong Flip-Flops,,,,,,
BERSACHE,Men Lightweight Thong Flip-Flops,₹619,MRP ₹1999,(Rs. 1380 OFF),3.4,14 Ratings,"A pair of black solid thong flip-flops
Canvas upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Liberty,Men Thong Flip-Flops,₹1239,MRP ₹1999,(38% OFF),4.2,36 Ratings,"A pair of tan solid thong flip-flops
Pu upper
Cushioned footbed
Patterned eva outsole
Warranty: 15 days
Warranty provided by brand manufacturer",PU,Casual,Solid,EVA,Regular,Thong Flip-Flops,15 days,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
Red Tape,Men Printed Sliders,₹899,MRP ₹2999,(70% OFF),4.1,120 Ratings,"A pair of red and black printed sliders
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand manufacturer",Synthetic,Casual,Printed,EVA,Regular,Sliders,45 days,,,,,
yoho,Men Ortho Thong Flip-Flops,₹647,MRP ₹899,(28% OFF),4.3,607 Ratings,"A pair of solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer
""Arch Support: Our Archflex Technology offers excellent arch support, adapting to your foot shape for all-day comfort
Padded Straps
Soft Toe Separator (Luppi)
Highly Cushioned Sole",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,2 months,,,,,
DOCTOR EXTRA SOFT,Men Orthopedic Sliders,₹499,MRP ₹999,(Rs. 500 OFF),4.4,355 Ratings,"A pair of tan brown and black solid sliders
Synthetic upper
Cushioned footbed
Patterned eva outsole
Features:
Adjustable velcro for good grip designed especially for people suffering from swelling feet and diabetic and orthopedic patients
Soft EVA material pain relief orthopedic diabetic footwear
Doctor extra soft insole for full day comfort Orthopedic non slipspacially designed lab tested sole",Synthetic,Casual,Solid,EVA,Regular,Sliders,,,,,,
max,Men Printed Thong Flip-Flops,₹359,MRP ₹399,(10% OFF),4.2,79 Ratings,"A pair of beige and black printed thong flip-flops
Pu upper
Cushioned footbed
Patterned eva outsole",PU,Casual,Printed,EVA,Regular,Thong Flip-Flops,,,,,,
Duke,Men Striped Thong Flip-Flops,₹324,MRP ₹499,(35% OFF),4.2,42 Ratings,"A pair of red,navy blue and white striped thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 15 days
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Striped,EVA,Regular,Thong Flip-Flops,15 days,,,,,
