Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Material,Fastening,Sole Material,Occasion,Warranty
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),3.7,39 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
El Paso,Men Comfort Sandals,₹838,MRP ₹3995,(79% OFF),3.7,1.1k Ratings,"A pair of blue comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Buckle,EVA,Daily,3 months
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),4.2,13 Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic Leather,Slip-On,EVA,Daily,
Anouk,Men Comfort Sandals,₹771,MRP ₹2660,(71% OFF),3.4,5 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,1 month
El Paso,Men Comfort Sandals,₹849,MRP ₹3995,(Rs. 3146 OFF),3.7,1.1k Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,3 months
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),4,8 Ratings,"A pair of blue comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Roadster,The Lifestyle Co. Men Comfort Sandals,₹766,MRP ₹3195,(76% OFF),4,285 Ratings,"A pair of round-toe black solid comfort flats with regular styling and slip-on closure
PU upper material
Cushioned footbed
Patterned PVC outsole",Comfort Sandals,PU,Slip-On,PVC,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.1,974 Ratings,"A pair of navy blue comfort sandals, with slip-on closure
Synthetic leather upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),4,41 Ratings,"A pair of brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
Rising Wolf,Men Comfort Sandals,₹839,MRP ₹2999,(72% OFF),3.9,26 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic Leather,Velcro,Rubber,Ethnic,
Mast & Harbour,Men Comfort Sandals,₹794,MRP ₹1499,(47% OFF),3.5,95 Ratings,"A pair of tan comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,
Mast & Harbour,Men Comfort Sandals,₹794,MRP ₹1499,(47% OFF),3.8,62 Ratings,"A pair of black comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Buckle,EVA,Daily,
BUCIK,Men Black Sandals,₹659,MRP ₹3299,(80% OFF),3.7,14 Ratings,"A pair of black comfort sandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic Leather,Velcro,Rubber,Daily,3 months
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),4.2,13 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,
Mast & Harbour,Men Comfort Sandals,₹799,MRP ₹1999,(60% OFF),3.5,258 Ratings,"A pair of black comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Buckle,EVA,Daily,
Mast & Harbour,Men Comfort Sandals,₹799,MRP ₹1599,(50% OFF),3.5,187 Ratings,"A pair of blue comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Buckle,EVA,Daily,
Sparx,Men Sports Sandals,₹759,MRP ₹949,(20% OFF),4.2,634 Ratings,"A pair of black Sports sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Sports Sandals,Synthetic,Velcro,Synthetic,Sports,
Mast & Harbour,Men Comfort Sandals,₹839,MRP ₹2999,(72% OFF),4.4,21 Ratings,"A pair of grey comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),3.9,11 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Buckle,PU,Daily,3 months
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4,695 Ratings,"A pair of black comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),4.1,18 Ratings,"A pair of black comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Buckle,PU,Daily,
Mast & Harbour,Men Comfort Sandals,₹699,MRP ₹3495,(80% OFF),4,24 Ratings,"A pair of green comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,1 month
Provogue,Men Comfort Sandals,₹878,MRP ₹2929,(70% OFF),2.7,9 Ratings,"A pair of black comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Buckle,PU,Daily,3 months
Paaduks,Men Ben Luxe Crossover Corduroy Suede Comfort Sandals,₹2424,MRP ₹3368,(28% OFF),3.5,23 Ratings,"A pair of brown comfort sandals
Vegan suede upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Suede,Slip-On,Rubber,Daily,3 months
Mast & Harbour,Men Comfort Sandals,₹809,MRP ₹2999,(73% OFF),4.4,21 Ratings,"A pair of beige comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),3.9,74 Ratings,"A pair of brown comfort sandals
Synthetic upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
Mast & Harbour,Men Comfort Sandals,₹699,MRP ₹3495,(80% OFF),4,22 Ratings,"A pair of beige comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,1 month
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),3.8,8 Ratings,"A pair of tan brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
HERE&NOW,Men Comfort Sandals,₹1247,MRP ₹3899,(68% OFF),2.8,6 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Buckle,TPR,Daily,
El Paso,Men Comfort Sandals,₹849,MRP ₹2749,(Rs. 1900 OFF),4.3,21 Ratings,"A pair of black comfort sandals with slip-on closure
Synthetic upper
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,3 months
BYFORD by Pantaloons,Men Comfort Sandals,₹1039,MRP ₹1299,(20% OFF),3.5,20 Ratings,"A pair of navy blue comfort sandals, with slip-on closure
Pu upper 
Cushioned footbed
Patterned eva outsole",Comfort Sandals,PU,Slip-On,EVA,Daily,
HERE&NOW,Men Comfort Sandals,₹849,MRP ₹2499,(66% OFF),4.4,5 Ratings,"A pair of blue comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),3.8,70 Ratings,"A pair of olive green comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
HERE&NOW,Men Fisherman Sandals,₹1247,MRP ₹3899,(68% OFF),3.1,7 Ratings,"A pair of beige fisherman sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned tpr outsole",Fisherman Sandals,Synthetic Leather,Buckle,TPR,Daily,
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),3.8,70 Ratings,"A pair of black comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
Sparx,Men Black Sandals,₹719,MRP ₹799,(10% OFF),4.4,177 Ratings,"A pair of black comfort sandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic Leather,Velcro,Rubber,Daily,3 months
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),4.4,12 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
UNDERROUTE,Men Comfort Sandals With Buckles,₹999,MRP ₹3999,(75% OFF),4.1,166 Ratings,"A pair of olive green comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
Sparx,Men Sports Sandals,₹871,MRP ₹1025,(15% OFF),4.2,99 Ratings,"A pair of black Sports sandals
Fabric upper with velcro closure
Cushioned footbed
Patterned synthetic outsole",Sports Sandals,Synthetic,Velcro,Synthetic,Sports,
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),3.8,8 Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Metro,Men Comfort Sandals,₹1618,MRP ₹2490,(35% OFF),4.6,9 Ratings,"A pair of black comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,PU,Daily,1 month
Roadster,The Lifestyle Co Men Comfort Sandals,₹998,MRP ₹2495,(60% OFF),3,9 Ratings,"Brown solid sandals, secured with a buckle closure
Synthetic upper
Cushioned footbed
Textured and patterned PU outsole",Comfort Sandals,Synthetic,Buckle,PU,Casual,
Roadster,The Lifestyle Co Men Comfort Sandals,₹878,MRP ₹2929,(70% OFF),5,6 Ratings,"Black solid comfort sandals, secured with a slip-on closure
Faux Leather upper
Cushioned footbed
PU outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Mochi,Men Comfort Sandals,₹1488,MRP ₹2290,(35% OFF),4.5,15 Ratings,"A pair of tan comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,Synthetic,Daily,1 month
Roadster,The Lifestyle Co. Men Comfort Sandals,₹766,MRP ₹3195,(76% OFF),4,182 Ratings,"A pair of round-toe black solid comfort flats with regular styling and slip-on closure
PU upper material
Cushioned footbed
Patterned PVC outsole",Comfort Sandals,PU,Slip-On,PVC,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4,710 Ratings,"A pair of white comfort sandals
Synthetic upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
Metro,Men Comfort Sandals,₹1345,MRP ₹2990,(55% OFF),3.5,8 Ratings,"A pair of maroon comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,PU,Daily,1 month
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),3.5,23 Ratings,"A pair of olive green comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),4.6,9 Ratings,"A pair of olive green comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),3.4,7 Ratings,"A pair of olive green comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
Roadster,The Lifestyle Co. Men Sports Sandals,₹849,MRP ₹2499,(66% OFF),2.7,60 Ratings,"Grey solid sports sandals, secured with a velcro closure
Faux Leather upper
Cushioned footbed
Textured and patterned Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",Sports Sandals,Synthetic,Velcro,PU,Sports,
Sparx,Men Sports Sandals,₹719,MRP ₹799,(10% OFF),4.3,135 Ratings,"A pair of black solid sports sandals
Secured with a velcro closure
EVA & rubber upper",Sports Sandals,Synthetic,Velcro,PU,Sports,
Roadster,The Lifestyle Co Men Sports Sandals,₹539,MRP ₹1799,(70% OFF),4.3,6 Ratings,"Blue solid sports sandals, secured with a velcro closure
Synthetic upper
Cushioned footbed
Textured and patterned Phylon outsole",Comfort Sandals,Synthetic,Velcro,Rubber,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4,427 Ratings,"A pair of navy blue comfort sandals
Synthetic upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Buckle,PU,Daily,
