Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Pattern,Fastening,Shoe Width,Technology,Ankle Height,Insole,Sole Material,Micro Trend,Warranty,Occasion,Number of Items,Package Contains,Ornamentation
Liberty,Kids Lace-Up School Shoes,₹1217,MRP ₹1399,(13% OFF),4,310 Ratings,"A pair of round toe black perforated sneakers ,has regular styling
Lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Perforations,Lace-Ups,Regular,,Regular,Comfort Insole,PU,Basics,,Everyday,2,,
Ajanta,Girls School Slip-On Sneakers,₹449,MRP ₹549,(Rs. 100 OFF),4.8,20 Ratings,"A pair of round toe black school slip-on sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Wide,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,,
Liberty,Unisex Velcro Detail Lightweight Sneakers,₹819,MRP ₹999,(18% OFF),4.3,515 Ratings,"A pair of round toe white sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand manufacturer",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Padded,PVC,Basics,14 days,Everyday,2,,
Liberty,Kids Lace-Up School Shoes,₹1052,MRP ₹1299,(19% OFF),4,295 Ratings,"A pair of round toe black perforated sneakers ,has regular styling,
Lace-ups detail
Leather upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Perforations,Lace-Ups,Regular,,Regular,Comfort Insole,Rubber,Basics,,Everyday,2,,
Paragon,Kids Mesh Padded Insole Basics School Sneakers,₹629,MRP ₹699,(10% OFF),2.6,35 Ratings,"A pair of white school sneakers , has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Sneakers,Round Toe,Textured,Lace-Ups,Regular,,Regular,Padded,EVA,Basics,28 days,Everyday,2,,
Ajanta,Girls Velcro School Sneakers,₹449,MRP ₹599,(25% OFF),4.8,20 Ratings,"A pair of pointed toe black school sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Wide,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of shoes,
Ajanta,Girls School Slip-On Sneakers,₹449,MRP ₹499,(10% OFF),3.8,11 Ratings,"A pair of round toe white school slip-on sneakers ,has regular styling,
Slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Slip-On,Regular,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of school shoe,
Ajanta,Girls School Slip-On Sneakers,₹449,MRP ₹549,(Rs. 100 OFF),3.8,11 Ratings,"A pair of round toe white school slip-on sneakers ,has regular styling,
Slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Slip-On,Regular,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of school shoe,
Ajanta,Kids Velcro School Sneakers,₹499,MRP ₹699,(Rs. 200 OFF),4.8,21 Ratings,"A pair of round toe black school sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Wide,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of shoes,
Liberty,Kids Velcro School Shoes,₹721,MRP ₹849,(15% OFF),4.3,1.3k Ratings,"A pair of round toe black sneakers,, has regular styling
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Velcro,Regular,,Regular,Comfort Insole,PVC,Basics,,Everyday,2,,
Ajanta,Boys Lightweight Comfort Insole Basics Sneakers,₹549,MRP ₹949,(Rs. 400 OFF),3.4,20 Ratings,"A pair of round toe black sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer

Technology :Lightweight",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Comfort Insole,PVC,Basics,1 month,Everyday,,,
Liberty,Kids Velcro School Shoes,₹1273,MRP ₹1399,(9% OFF),4.1,102 Ratings,"A pair of round toe black sneakers ,has regular styling,
Velcro detail
Pu upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Padded,EVA,Basics,14 days,Everyday,2,,Buckles
Ajanta,Boys Round Toe Basics School Sneakers,₹449,MRP ₹649,(Rs. 200 OFF),4.3,20 Ratings,"A pair of round toe black school sneakers ,has regular styling
Lace- ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Sneakers,Round Toe,Solid,Lace-Ups,Regular,,Regular,EVA or Rubber,PVC,Basics,28 days,Everyday,,,
Liberty,Kids Lace-Up School Shoes,₹1203,MRP ₹1399,(14% OFF),4,259 Ratings,"A pair of round toe white sneakers ,has regular styling,
Lace-ups detail
Leather upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Textured,Lace-Ups,Regular,,Regular,Comfort Insole,Rubber,Basics,,Everyday,2,,
Paragon,Kids Mesh Padded Insole Basics School Sneakers,₹711,MRP ₹749,(5% OFF),2.6,35 Ratings,"A pair of white school sneakers , has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Sneakers,Round Toe,Textured,Lace-Ups,Regular,,Regular,Padded,EVA,Basics,28 days,Everyday,2,,
Ajanta,Girls Lightweight Buckled School Shoes,₹449,MRP ₹599,(25% OFF),4.3,40 Ratings,"A pair of round toe black school shoes,has regular styling
Buckle detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Solid,Slip-On,Regular,Lightweight,Regular,Padded,PVC,Basics,1 month,Everyday,,,
Ajanta,Girls School Slip-On Sneakers,₹449,MRP ₹499,(10% OFF),4.8,20 Ratings,"A pair of pointed toe black school slip-on sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Wide,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of school shoe,
Ajanta,Boys Textured School Shoes,₹399,MRP ₹599,(Rs. 200 OFF),3.4,5 Ratings,"A pair of round toe black school shoes,has regular styling
Lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Textured,Lace-Ups,Regular,,Regular,Comfort Insole,PVC,Basics,1 month,Everyday,,,
Ajanta,Girls School Slip-On Sneakers,₹449,MRP ₹599,(25% OFF),3.8,11 Ratings,"A pair of round toe white school slip-on sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Regular,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of school shoe,
Ajanta,Girls School Slip-On Sneakers,₹449,MRP ₹599,(25% OFF),3.9,12 Ratings,"A pair of round toe white school slip-on sneakers ,has regular styling,
Slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
\Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Slip-On,Regular,,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 pair of school shoe,
Ajanta,Girls Lightweight School Shoes,₹449,MRP ₹649,(Rs. 200 OFF),4.1,13 Ratings,"A pair of pointed toe black school shoes,has regular styling
Buckle detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Solid,Buckle,Regular,Lightweight,Regular,Padded,PVC,Basics,1 month,Everyday,,,
Ajanta,Boys School Slip-On Sneakers,₹449,MRP ₹499,(10% OFF),3.8,6 Ratings,"A pair of round toe black school slip-on sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Slip-On Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Memory Foam,PVC,Basics,1 month,Everyday,2,1 Pair of school shoe,
Liberty,Unisex Mid-Top Lightweight Sneakers,₹1273,MRP ₹1399,(9% OFF),4.3,84 Ratings,"A pair of round toe white sneakers, has mid-top styling,
Velcro detail
Pu upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand manufacturer",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Mid-Top,Padded,EVA,Basics,1 month,Everyday,2,,
Ajanta,Girls Lightweight Buckled School Shoes,₹449,MRP ₹649,(Rs. 200 OFF),4.3,12 Ratings,"A pair of pointed toe black school shoes,has regular styling
Buckle detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Textured,Buckle,Narrow,Lightweight,Regular,Padded,PVC,Basics,1 month,Everyday,,,
Bata,Kids Velcro Closure Comfort Insole Textile Basics School Sneakers,₹1614,MRP ₹1699,(5% OFF),2.8,13 Ratings,"A pair of round toe black school sneakers ,has regular styling,
Velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Velcro,Wide,,Regular,Comfort Insole,PU,Basics,,Everyday,,,
Bata,Boys Woven Design Canvas Sneakers,₹1424,MRP ₹1499,(5% OFF),3.6,181 Ratings,"A pair of round toe sneakers ,has regular styling,
Velcro detail
Canvas upper
Cushioned foot bed
Textured and patterned outsole",Sneakers,Round Toe,Woven Design,Velcro,Regular,,Regular,Comfort Insole,Synthetic,Basics,,Smart Casual,,,
Bata,Boys Velcro Sneakers,₹1424,MRP ₹1499,(5% OFF),3.6,181 Ratings,"A pair of round toe sneakers,has regular styling
Velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Velcro,Regular,,Regular,Comfort Insole,Synthetic,Basics,,Everyday,,,
Bata,Kids Woven Design Comfort Insole Textile Basics School Sneakers,₹1614,MRP ₹1699,(5% OFF),3.6,7 Ratings,"A pair of round toe white school sneakers ,has regular styling,
Velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Woven Design,Velcro,Regular,,Regular,Comfort Insole,PU,Basics,,Everyday,,,
Paragon,Boys K0776 Textured Mesh Padded Insole Basics School Sneakers,₹629,MRP ₹699,(10% OFF),2.6,34 Ratings,"A pair of black sneakers , has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Sneakers,Round Toe,Textured,Lace-Ups,Regular,,Regular,Padded,EVA,Basics,28 days,Everyday,2,,
Liberty,Kids Round Toe Lace Up Sneakers,₹1203,MRP ₹1399,(14% OFF),4.3,189 Ratings,"A pair of round toe white sneakers ,has regular styling,
Lace-ups detail
Pu upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand manufacturer",Sneakers,Round Toe,Solid,Lace-Ups,Regular,Lightweight,Regular,Padded,EVA,Basics,14 days,Everyday,2,,
Bata,Kids Velcro School Shoes,₹1563,MRP ₹1699,(8% OFF),4.3,28 Ratings,"A pair of round toe white school shoes,has regular styling
Velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Printed,Velcro,Wide,,Regular,Comfort Insole,EVA,Basics,,Everyday,,,
Bata,Men Comfort Insole Basics Sneakers,₹899,MRP ₹999,(10% OFF),3.9,9 Ratings,"A pair of round toe white sneakers ,has regular styling,
Lace-ups detail
PU upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Lace-Ups,Regular,,Regular,Comfort Insole,PU,Cleated Sole,,Everyday,2,,
Paragon,Boys K0776 Textured Mesh Padded Insole Basics School Sneakers,₹711,MRP ₹749,(5% OFF),2.6,34 Ratings,"A pair of black sneakers , has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Sneakers,Round Toe,Textured,Lace-Ups,Regular,,Regular,Padded,EVA,Basics,28 days,Everyday,2,,
Bata,Boys Black Solid Derbys,₹724,MRP ₹852,(15% OFF),3.8,31 Ratings,"A pair of round-toe black derbys, has regular styling, zip detail
PU upper
Cushioned footbed
Textured and patterned outsole",Derbys,Round Toe,Solid,Zip,Wide,,Regular,Comfort Insole,EVA,Basics,,Smart Casual,,,
Bata,Boys White Sneakers,₹634,MRP ₹746,(15% OFF),3.8,119 Ratings,"A pair of round-toe white sneakers, has regular styling, velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Velcro,Regular,,Regular,Comfort Insole,EVA,Basics,,Everyday,,,
Liberty,Kids Lace-Up School Shoes,₹527,MRP ₹799,(34% OFF),3.7,11 Ratings,"A pair of round toe black school sneakers,has regular styling
Lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer
Technology:
Lightweight",Sneakers,Round Toe,Textured,Lace-Ups,Regular,Lightweight,Regular,Padded,PVC,Basics,14 days,Everyday,2,,
Bata,Kids Perforated School Sneakers,₹849,MRP ₹999,(15% OFF),4.2,12 Ratings,"A pair of round toe white school sneakers ,has regular styling
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Perforations,Velcro,Regular,,Regular,Comfort Insole,EVA,Basics,,Everyday,,,
Ajanta,Boys Lightweight Comfort Insole Basics Sneakers,₹549,MRP ₹1049,(Rs. 500 OFF),3.9,10 Ratings,"A pair of round toe black sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer

Technology :Lightweight",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Comfort Insole,PVC,Basics,1 month,Everyday,,,
Bata,Kids Velcro Closure Comfort Insole Textile Basics School Sneakers,₹1563,MRP ₹1699,(8% OFF),4.3,28 Ratings,"A pair of round toe black sneakers ,has regular styling,
Velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Woven Design,Velcro,Regular,,Regular,Comfort Insole,EVA,Basics,,Everyday,,,
