Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Pronation for Running Shoes,Arch Type,Cushioning,Running Type,Distance,Surface Type,Number of Items,Package Contains,Warranty,Technology
KazarMax,Kids White Solid School Shoes,₹899,MRP ₹1999,(55% OFF),4.3,447 Ratings,"A pair of round-toe white solid School Shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Training or Gym,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,1,,28 days,
ASIAN,Boys Vayu-09 Running Shoes,₹791,MRP ₹1099,(28% OFF),4.2,263 Ratings,"A pair of black,red and white sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
KazarMax,Kids Navy Blue & Green Dinosaurs Print Walking Shoes,₹919,MRP ₹1999,(54% OFF),4.5,547 Ratings,"A pair of navy blue, green and pink dinosaurs print walking sports shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 Month
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,Court,,,30 days,
KazarMax,Girls Mesh Running Non-Marking Shoes,₹1049,MRP ₹2499,(58% OFF),4.3,45 Ratings,"A pair of shoes, has regular Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,Trail Running,Medium,Soft,,,30 days,
KazarMax,Girls Colourblocked Velcro Running Shoes,₹974,MRP ₹2499,(61% OFF),4.5,43 Ratings,"A pair of round toe blue,pink and white running shoes ,has regular styling
Velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,30 days,
KazarMax,Kids White Solid School Shoes,₹899,MRP ₹1999,(55% OFF),4.3,447 Ratings,"A pair of round-toe white solid School Shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Training or Gym,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,1,,28 days,
ASIAN,Boys Vayu-09 Running Shoes,₹791,MRP ₹1099,(28% OFF),4.2,263 Ratings,"A pair of black,red and white sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
KazarMax,Kids Navy Blue & Green Dinosaurs Print Walking Shoes,₹919,MRP ₹1999,(54% OFF),4.5,547 Ratings,"A pair of navy blue, green and pink dinosaurs print walking sports shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 Month
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,Court,,,30 days,
KazarMax,Girls Mesh Running Non-Marking Shoes,₹1049,MRP ₹2499,(58% OFF),4.3,45 Ratings,"A pair of shoes, has regular Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,Trail Running,Medium,Soft,,,30 days,
BIRDE,Unisex Lightweight Walking Shoes,₹799,MRP ₹1999,(Rs. 1200 OFF),4.1,172 Ratings,"A pair of navy blue walking shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,All-Rounder,2,1 pair of shoes,,Advanced Chassis
Trenz,Kids Textured Round Toe Running Shoes,₹839,MRP ₹1399,(40% OFF),4.5,23 Ratings,"A pair of blue textured running shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
BIRDE,Boys Textured Slip-On Walking Shoes,₹649,MRP ₹1499,(Rs. 850 OFF),4.2,99 Ratings,"A pair of black walking shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,,Memory Foam
ASIAN,Boys Mesh Running Sports Shoes,₹959,MRP ₹1599,(40% OFF),3.9,87 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,Fixed,Neutral,,Medium,Track,,All-Rounder,2,,28 days,
KazarMax,Kids Blue & Pink Ombre Effect Walking Shoes,₹919,MRP ₹1999,(54% OFF),4.5,211 Ratings,"A pair of blue and pink walking shoes, has regular styling, Velcro detail
Mesh upper with ombre effect
Cushioned footbed
Textured and patterned outsole
Warranty: 1 Month
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,Court,,,30 days,
KazarMax,KIds White & Pink Printed Walking Shoes,₹919,MRP ₹1999,(54% OFF),4.5,241 Ratings,"A pair of white and pink printed walking sports shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 Month
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,Court,,,30 days,
Trenz,Kids Textured Velcro Running Shoes,₹839,MRP ₹1399,(40% OFF),4.5,23 Ratings,"A pair of black textured running shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
ASIAN,Boys Yodha-05 Running Shoes,₹1199,MRP ₹1999,(40% OFF),4.4,297 Ratings,"A pair of blue,orange and white yodha-05 running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
plaeto,Kids EZPlay Textured Mesh Walking Shoes,₹1199,MRP ₹1999,(Rs. 800 OFF),4.3,20 Ratings,"A pair of round toe grey & white shoes ,has regular styling,
Slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,Neutral,Flat,Medium,Long Distance,Long,All-Rounder,2,,6 months,
ABROS,Boys NANO Lace-Up Walking Shoes,₹995,MRP ₹1119,(11% OFF),4.2,162 Ratings,"A pair of grey and mustard yellow walking shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,
ASIAN,Boys Running Non-Marking Memory Foam Technology Sports Shoes YODHA-02cSLTBLUE,₹767,MRP ₹1279,(40% OFF),4.1,165 Ratings,"A pair of Memory Foam Technology sports shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
VAN Number: YODHA-02cSLTBLUE
Warranty: 28 days
Warranty provided by seller/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
plaeto,Kids Aspire Multiplay Lace-Ups School Shoes,₹1614,MRP ₹1699,(Rs. 85 OFF),4.4,21 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 year",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,All-Rounder,2,1 pair of shoe,1 year,
ABROS,Boys Deluxe Mesh Walking Sports Shoes,₹759,MRP ₹799,(5% OFF),4.3,68 Ratings,"A pair of grey,white and orange sports shoes, has regular styling,velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,High,Trail Running,Medium,All-Rounder,,,30 days,Air
KazarMax,Boys Running Non-Marking Sports Shoes,₹1049,MRP ₹2499,(58% OFF),4.6,31 Ratings,"A pair of red shoes, has regular Styling, velcro detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,Trail Running,Medium,Soft,,,30 days,
Trenz,Kids Walking Shoes,₹779,MRP ₹1299,(40% OFF),4.9,10 Ratings,"A pair of navy blue shoes, has mid-top Styling, detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
ASIAN,Boys Vayu-04 Running Shoes,₹839,MRP ₹1049,(20% OFF),4.3,117 Ratings,"A pair of teal blue, white and mustard yellow sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
Pantaloons Junior,Boys Knitted Walking Shoes,₹749,MRP ₹999,(25% OFF),3.5,6 Ratings,"A pair of grey & white shoes, has regular styling, slip on detail
PU upper
Cushioned footbed
Textured and patterned outsole
Knit detail",Walking,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Soft,2,,,
Shoetopia,Boys Mesh Running Shoes,₹799,MRP ₹1999,(60% OFF),4.4,41 Ratings,"A pair of grey & black shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
BTUF,Kids Round Toe Super Grip EVA Cricket Shoes,₹1349,MRP ₹3799,(Rs. 2450 OFF),4.3,7 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,Medium,Road Running,Medium,All-Rounder,2,1 pair shoes,30 days,Super Grip EVA
Trenz,Kids Textured Lace-Up Running Shoes,₹899,MRP ₹1499,(40% OFF),4.8,8 Ratings,"A pair of green textured running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
TRASE,Boys Grey & Blue Running Shoes,₹899,MRP ₹1499,(40% OFF),4.1,167 Ratings,"A pair of grey, blue, and white running sports shoes, has regular styling, velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Synthetic,Velcro,Regular,Marking,No Cleats,,Flat,Medium,Road Running,,Outdoor,,,30 days,
BTUF,Kids Round Toe Super Grip EVA Cricket Shoes,₹949,MRP ₹2699,(Rs. 1750 OFF),4.6,8 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,Medium,Road Running,Medium,All-Rounder,2,1 pair shoes,30 days,Super Grip EVA
ASIAN,Boys Mesh Running Marking Shoes,₹944,MRP ₹2099,(55% OFF),4,43 Ratings,"A pair of grey & green shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty is provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
KazarMax,Kids Hopits Colourblocked Mesh Memory Foam Contrast Sole Sneakers,₹974,MRP ₹2499,(61% OFF),4.3,117 Ratings,"A pair of round toe blue ,pink & lime green sneakers ,has regular styling,
Velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Training or Gym,Mesh,Velcro,Regular,Non-Marking,No Cleats,,Medium,Medium,,,Outdoor,2,,30 days,
ABROS,Kids Run-N Running Sports Shoes,₹759,MRP ₹799,(5% OFF),4.6,72 Ratings,"A pair of navy blue running shoes, has mid-top Styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Slip-On,Mid-Top,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
Pantaloons Junior,Boys Running Shoes,₹839,MRP ₹1199,(30% OFF),4.6,7 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,2,one,,
ASIAN,Boys Running Non-Marking Memory Foam Technology Sports Shoes YODHA-02cWHT-2,₹767,MRP ₹1279,(40% OFF),4.1,165 Ratings,"A pair of Memory Foam Technology sports shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
VAN Number: YODHA-02cWHT-2
Warranty: 28 days
Warranty provided by seller/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
ASIAN,Boys Lace-Up Running Shoes,₹839,MRP ₹1049,(20% OFF),4.3,117 Ratings,"A pair of grey,black and white running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
Trenz,Kids Textured Slip-On Walking Shoes,₹779,MRP ₹1299,(40% OFF),4.7,7 Ratings,"A pair of red  textured slip-on walking shoes, has mid-top Styling, detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
BTUF,Kids Round Toe Super Grip EVA Cricket Shoes,₹1199,MRP ₹3299,(Rs. 2100 OFF),3.8,6 Ratings,"A pair of red shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,Medium,Road Running,Medium,All-Rounder,2,1 pair sports shoes,30 days,Super Grip EVA
ABROS,Boys Ai 2 N Kids Running Sports Shoes,₹965,MRP ₹1049,(8% OFF),4.1,292 Ratings,"A pair of grey shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Mid-Top,Marking,No Cleats,Neutral,Medium,High,Trail Running,Medium,All-Rounder,2,,30 days,Air
Pantaloons Junior,Boys Multicolor Running Non-Marking Shoes,₹719,MRP ₹899,(20% OFF),4.3,43 Ratings,"A pair of blue shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
BERSACHE,Boys Canvas Running Marking Shoes,₹699,MRP ₹3999,(Rs. 3300 OFF),3.9,7 Ratings,"A pair of blue running shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole",Running,Canvas,Lace-Ups,Regular,Marking,No Cleats,,,Low,,,Outdoor,2,,,
plaeto,Kids EZPlay Textured Mesh Walking Shoes,₹1199,MRP ₹1999,(Rs. 800 OFF),4.3,20 Ratings,"A pair of round toe navy blue shoes ,has regular styling,
Slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,Neutral,Flat,Medium,Long Distance,Medium,All-Rounder,2,,6 months,
BTUF,Kids Round Toe Cricket Shoes,₹949,MRP ₹2699,(Rs. 1750 OFF),4.2,6 Ratings,"A pair of red shoes, has regular styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,Medium,Road Running,Medium,All-Rounder,2,1 pair shoes,30 days,
Ajanta,Kids Mesh Running Shoes,₹649,MRP ₹1299,(50% OFF),4.9,7 Ratings,"A pair of yellow & green shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,Medium,Road Running,Medium,Outdoor,2,,30 days,
Trenz,Kids Walking Shoes,₹779,MRP ₹1299,(40% OFF),4.8,11 Ratings,"A pair of grey shoes, has mid-top Styling, detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months",Walking,Mesh,Slip-On,Mid-Top,Non-Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
BIRDE,Boys Textured Slip-On Walking Shoes,₹649,MRP ₹999,(Rs. 350 OFF),4,31 Ratings,"A pair of black and white walking shoes, has regular styling, slip on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,,
KazarMax,Unisex Kids Black Mesh Walking Shoes,₹974,MRP ₹2499,(61% OFF),4.3,117 Ratings,"A pair of black shoes, has regular Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,,,Outdoor,2,,30 days,
ASIAN,Boys Mesh Lace-Up Running Shoes,₹679,MRP ₹799,(15% OFF),3.9,808 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned foot bed
Textured and patterned outsole
Warranty: 28 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,
ABROS,Kids Run-N Running Sports Shoes,₹759,MRP ₹799,(5% OFF),4.6,74 Ratings,"A pair of sea green running shoes, has mid-top Styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Slip-On,Mid-Top,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
