Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Arch Type,Cushioning,Warranty,Distance,Surface Type,Technology,Number of Items,Pronation for Running Shoes,Running Type,Package Contains
Campus,Women Mesh Lace-Ups Running Non-Marking Sports Shoes,₹1799,MRP ₹1999,(10% OFF),4.5,50 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,2,Neutral,,
HRX by Hrithik Roshan,Women White & Pink Lace-Up Running Shoes,₹1367,MRP ₹3799,(64% OFF),4.3,4.4k Ratings,"A pair of off white and pink running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,Medium,High,30 days,Long,Indoor,,2,,Track,
Skechers,Women Go Run 400 Running Shoes,₹2249,MRP ₹4499,(50% OFF),4.6,830 Ratings,"Special Technology:
5GEN midsole material delivers comfort and response
5th Generation technology delivers energy return at an even lighter weight
Goga Run insole provides shock absorption and support
Features:
A pair of black & Pink running shoes, has regular styling, lace-up detail
Mesh Upper
Super lightweight sandwich mesh upper
Layered mesh for comfort and breathability
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,Soft,,2,Neutral,Road Running,one
HRX by Hrithik Roshan,Women Woven Design Running Shoes,₹1187,MRP ₹3299,(64% OFF),3.9,113 Ratings,"A pair of peach-coloured woven design running shoes, has regular Styling, lace-ups detail
Upper synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
Skechers,Women GO RUN 400 Women Running Sports Shoes,₹3149,MRP ₹4499,(30% OFF),4.4,61 Ratings,"Product Design Details:
A pair of blue solid round toe regular sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Synthetic outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

Skechers GOrun 400 is a well-cushioned, lightweight trainer perfect for a variety of workouts in and out of the gym. The responsive 5GEN cushioning midsole and a breathable mesh upper offer an incredibly responsive workout shoe",Running,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,3 months,,All-Rounder,Goga Mat,2,,,
Puma,Unisex Smash Sprint Indoor Sports Shoes,₹2249,MRP ₹4999,(55% OFF),4.2,4.5k Ratings,"FEATURES & BENIFITS:
Details:-Non-marking rubber outsole.
Suitable for use on indoor surfaces.
Low boot,
Lace closure,
Variofoam for a lightweight cushioning sensation,
Variomesh provides superb breathability and comfort,
Stability frame for lateral and medial support,
PUMA cat logo branding

PRODUCT DESIGN DETAILS:
A pair of white solid round toe sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
PRODUCT STORY 

Ready for the smash? Experience the revolution of Variofoam, offering a lightweight cushion that propels you to leap and lunge with ease. The Variomesh upper envelopes your feet in unparalleled breathability and comfort, keeping you cool as the match heats up. Designed with a non-marking outsole for flawless movement and a stability frame that delivers exceptional lateral and medial support, these shoes are the ultimate ally in every intense rally.",Badminton,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,3 months,Medium,Indoor,,2,Neutral,,
HRX by Hrithik Roshan,Women Woven Design Running Shoes,₹1187,MRP ₹3299,(64% OFF),4,148 Ratings,"A pair of navy blue woven design running shoes, has regular styling, lace-up closure
Upper synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
Puma,FlexFocus Lite Unisex Running Shoes,₹2199,MRP ₹5499,(60% OFF),4.3,43 Ratings,"Product Design Details:
A pair of Blue solid round toe sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

This progressive runner features a sole that has plenty of flex grooves to support the ergonomic movements of your foot. The outsole has considered rubber zones for targeted grip, and midsole features our PUMALite foam technology, which is ultra lightweight. See you on your morning run!",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,,Medium,3 months,Medium,Hard,,2,Neutral,Road Running,
ADIDAS,Unisex Heather Low Tennis Shoes,₹3599,MRP ₹4799,(25% OFF),4.7,49 Ratings,"Product Design Detail:
Main material: Textile upper / Rubber outsole
Brand colour: FTWWHT/SPARK/BLUSPA/SEIMOR
Brand logo detail
Mid top styling
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Tennis,Textile,Velcro,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,,,A pair of shoes
Campus,Women Black Mesh Slip On Walking Shoes,₹1343,MRP ₹1399,(4% OFF),4.3,6.9k Ratings,"A pair of black walking shoes, has regular Styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,High,30 days,Long,All-Rounder,,,Neutral,Road Running,
Skechers,Women Go Run 400 - Action Running Shoes,₹2249,MRP ₹4499,(50% OFF),4.2,142 Ratings,"Special Technologies:
Goga Run insole provides shock absorption and support
5GEN midsole material delivers comfort and response
Sole with GOimpulse sensors for responsive traction and ground feel
Features:
A pair of navy blue shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,All-Rounder,Goga Max,2,Neutral,Road Running,one
Denill,Women White Solid Running Shoes,₹859,MRP ₹1999,(57% OFF),4,2.6k Ratings,"A pair of white solid comfort sandals
Synthetic upper material
Cushioned footbed
Patterned PU outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Running,Synthetic,Lace-Ups,Mid-Top,Marking,No Cleats,Medium,Medium,,Medium,Outdoor,,,,Road Running,
ASIAN,Women Mesh Running Non-Marking Shoes,₹679,MRP ₹999,(32% OFF),4,1.5k Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,High,28 days,,All-Rounder,Memory Foam,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Cream-Coloured Mesh Running Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.6k Ratings,"A pair of cream-coloured shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,,2,,Track,1 pair of shoe
SUBEA By Decathlon,Unisex Navy Blue Aqua Shoes 100,₹699,MRP ₹999,(Rs. 300 OFF),4.2,2.4k Ratings,"A pair of navy blue aqua shoes, has regular styling, slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by brand/manufacturer

Features:
Aquashoes designed to let you walk comfortably across pebbles and rocks at the waters edge so that they can discover the coastal seabed
The 100 Aquashoes are comfortable and prevent you from slipping when snorkelling and practising your favourite water sports",Walking,Synthetic,Slip-On,Regular,Non-Marking,No Cleats,Flat,Low,2 years,,Outdoor,,2,Neutral,,
HRX by Hrithik Roshan,Women Woven Design Running Shoes,₹1319,MRP ₹2999,(56% OFF),5,7 Ratings,"A pair of beige woven design shoes, has regular styling, lace-up closure
Upper synthetic 
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of sports shoes
ADIDAS,Duramo Rc U Sports Shoes,₹3919,MRP ₹5599,(30% OFF),4.4,23 Ratings,"Product Design Details:
A pair of green textured round toe regular sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Synthetic outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Long,Hard,Super Grip EVA,2,Neutral,Road Running,
Campus,Women White Mesh Running Shoes,₹1804,MRP ₹1899,(5% OFF),4.4,3.4k Ratings,"A pair of white shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
ADIDAS,Unisex Perforated Gamecourt 2 SL Tennis Shoes,₹4899,MRP ₹6999,(30% OFF),4,27 Ratings,"Special Technology:
Adiwear
Product Design Detail:
Main material: Mesh upper / Rubber outsole
Brand colour: FTWWHT/CBLACK/FTWWHT
Brand logo detail
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer
About ADIDAS Unisex Gamecourt 2 SL Tennis Shoes:
Find your competitive edge on a range of surfaces. These adidas Gamecourt 2 tennis shoes support your every cut and pivot with a grippy all-court Adiwear outsole and a padded collar that locks you in. An Adituff toe guard adds extra durability to the ventilated mesh upper. Underneath, EVA smooths every sprint and cushions landings.

This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Tennis,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,,,A pair of shoes
Red Tape,Women Lace-Up Mesh Walking Shoes,₹2309,MRP ₹7699,(70% OFF),4.3,340 Ratings,"A pair of beige shoes, has regular Styling, lace-ups detail
Upper mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand manufacturer",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,High,28 days,,Soft,,2,,,
HRX by Hrithik Roshan,Women Mesh Running Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.5k Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,,2,,Track,
Puma,Unisex Badminton Rally Lace-Ups Indoor Sports Shoes,₹2999,MRP ₹5999,(50% OFF),4.7,9 Ratings,"Product Design Details:
A pair of blue solid round toe sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

Ready for the smash? Experience the revolution of Variofoam, offering a lightweight cushion that propels you to leap and lunge with ease. The Variomesh upper envelopes your feet in unparalleled breathability and comfort, keeping you cool as the match heats up. Designed with a durable outsole for flawless movement and a stability frame that delivers exceptional lateral and medial support, these shoes are the ultimate ally in every intense rally. Details : Heel type: Flat, Shoe width: Regular fit, Shoe pronation: Neutral, Heel-to-toe-drop: 0 mm, Textile upper, Rubber outsole. Suitable for use on indoor surfaces., Low boot, Lace closure, Variofoam for a lightweight cushioning sensation, Variomesh provides superb breathability and comfort, Stability frame for lateral and medial support.",Badminton,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,3 months,Medium,Indoor,,2,Neutral,,
Liberty,Women Walking Shoes,₹1215,MRP ₹3199,(62% OFF),4.3,373 Ratings,"A pair of peach-coloured shoes, has mid-top Styling, slip-on detail
Upper synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand manufacturer",Walking,Synthetic,Slip-On,Mid-Top,Marking,No Cleats,Medium,Medium,14 days,Long,All-Rounder,,2,Neutral,Long Distance,1 pair of footwear
Puma,Women FlexFocus Lite Modern Running Shoes,₹4399,MRP ₹5499,(20% OFF),4.6,74 Ratings,"PRODUCT STORY
This progressive runner features a sole that has plenty of flex grooves to support the ergonomic movements of your foot. The outsole has considered rubber zones for targeted grip, and midsole features our PUMALite foam technology, which is ultra lightweight. See you on your morning run!

SPECIAL TECHNOLOGY:
 SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
The upper of the shoes is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials.

PRODUCT DETAILS:
A pair of pink shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,3 months,Medium,Hard,,2,Neutral,Road Running,1 pair of sports shoes
Reebok,Unisex Court Clean Running Shoes,₹2989,MRP ₹4599,(35% OFF),4.3,147 Ratings,"Product Design Details
Main design: Synthetic Upper/ Rubber outsole
Brand color: FTWWHT/VECNAV/RBKG04
Lace-up Closure
Warranty: 3 months
Warranty provided by the Brand/Manufacturer
About Reebok Unisex Court Clean Running Shoes
Offering a pared-back look inspired by classic tennis styles, the Reebok Court Clean has a low-top silhouette with seamless Vector stripes. The minimalist style is finished with retro logos, a cushioned EVA sockliner and durable rubber cupsole.",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,,,A pair of shoes
Puma,Unisex FlexFocus Lite Running Shoes,₹3849,MRP ₹5499,(30% OFF),4.4,447 Ratings,"Special Technology:
SoftFoam+ cushioned footbed for optimal comfort

Features:
A pair of blue shoes, has regular Styling, slip-on detail
Textile Upper
Cushioned footbed
Outsole: Zoned rubber coverage for durability and traction
Midsole: EVA foam
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Textile,Slip-On,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,All-Rounder,,2,Neutral,Road Running,1 pair of sports shoes
Puma,Women SOFTRIDE One4all Running Shoes,₹4874,MRP ₹6499,(25% OFF),4.9,15 Ratings,"Product Story : Hit the road in style in the all-new SOFTRIDE One4all Women's Walking Shoes. Our SOFTRIDE+ EVA technology provides extreme cushioning for all-day comfort, while an eye-catching upper design is highlighted by metallic accents, bold branding, and distinctive lacing Details. Zoned rubber on the toe and heel provides traction to keep you light on your feet.

About SOFTRIDE : PUMA's SOFTRIDE technology represents an advancement in footwear comfort. It incorporates our softest foam, designed to deliver extreme cushioning that promotes sustained comfort throughout the day. The SOFTRIDE midsole, softer and lighter than traditional EVA, extends through the full length of the shoe. This innovative construction enhances the wearer's experience, providing lightweight support during daily activities.

Features & Benefits : SOFTRIDE: Soft foam designed for all-day cushioning and comfort, SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel

Details :
A pair of cream-coloured shoes
PUMA Cat logo on the toe and heel
PUMA wordmark on the side
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Pull loops on the tongue and heel
Lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,,Low,3 months,Short,All-Rounder,,2,Neutral,Road Running,1-Pair of Sports Shoes
Campus,Women White Mesh Running Shoes,₹1804,MRP ₹1899,(5% OFF),4.4,3.4k Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
Campus,Women Burgundy Mesh Running Shoes,₹1343,MRP ₹1399,(4% OFF),4.3,6.9k Ratings,"A pair of burgundy running shoes, has regular Styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
CULT,Unisex Grey & Orange X1 Training Shoes,₹2099,MRP ₹4999,(58% OFF),4.4,352 Ratings,"A pair of running shoes, has regular styling, lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Rubber Sole Material
Warranty: 3 months
Warranty provided by brand/manufacturer
Features:

ENGINEERED MESH UPPER: The engineered mesh upper offers optimal breathability keeping your feet comfortable and sweat-free.

COMPRESSED EVA MIDSOLE: The EVA midsole offers lightweight cushioning and flexibility for comfort during training.

STABLE MIDSOLE PLATFORM: A wider and flatter midsole platform with a 4mm heel-to-toe drop provides stability and a grounded feel during workouts.

HIGH-ENERGY RETURN: Experience a high-energy return with our advanced technology, propelling you forward with each step for more efficient and dynamic performance.

CARBON RUBBER OUTSOLE: The rubber outsole with enhanced grip delivers superior traction and durability for various exercises, including squats, snatches, cleans, deadlifts, and more.",Training or Gym,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Low,3 months,Short,All-Rounder,,2,Neutral,,
HRX by Hrithik Roshan,Women Black & Fuchsia Slip-On Walking Shoes,₹1291,MRP ₹3799,(66% OFF),4.1,974 Ratings,"A pair of black and fuchsia walking shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,,2,,,
ADIDAS,Unisex Woven Design Round-Toe Switch Move Running Shoes with Striped Detail,₹4199,MRP ₹5999,(30% OFF),4.3,335 Ratings,"Special Technologies:
Adiwear outsole
Product Design Details:
Main material: Mesh upper/ rubber outsole
Brand colour: Core Black / Cloud White / Grey Six
Woven design
Classic 3-stripe detail
Regular fit
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer
About ADIDAS Unisex Woven Design Round-Toe Switch Move Running Shoes with Striped Detail
The easier your run feels, the farther you can go. These adidas running shoes cushion your stride with a lightweight EVA midsole. They're designed to deliver a smooth ride that enhances forward momentum so that every kilometre feels as good as the one before. The comfy mesh upper rides on an Adiwear outsole for optimum durability and grip. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,Adiwear,2,Neutral,Road Running,1 pair of shoes
Nike,Air Winflo 10 Women's Lace-Ups Road Running Shoes,₹6086,MRP ₹8695,(30% OFF),4.5,80 Ratings,"A balanced ride to help kick-start your run, the Winflo 10 is great whether you're a creature of habit logging your weekly mileage, a rookie hoping to turn intrigue into routine or just joining a friend for a spontaneous weekend run. A neutral-support shoe with springy Nike Air, plus more space in the forefoot, leads to a comfortable, bouncy feel. It's ready-made for your runwhenever the road is calling your name.",Running,Textile,Lace-Ups,Mid-Top,Non-Marking,No Cleats,Medium,Medium,,Medium,Outdoor,Air,2,,Road Running,
HRX by Hrithik Roshan,Women Textile Walking Shoes,₹1018,MRP ₹3499,(Rs. 2481 OFF),4.3,55 Ratings,"A pair of blue shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Walking,Textile,Slip-On,Regular,Marking,No Cleats,,Medium,,,Indoor,,2,,,1 pair of women shoes
Puma,Unisex Badminton Rally Lace-Ups Indoor Sports Shoes,₹2999,MRP ₹5999,(50% OFF),4.7,9 Ratings,"Product Design Details:
A pair of blue solid round toe sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

Ready for the smash? Experience the revolution of Variofoam, offering a lightweight cushion that propels you to leap and lunge with ease. The Variomesh upper envelopes your feet in unparalleled breathability and comfort, keeping you cool as the match heats up. Designed with a durable outsole for flawless movement and a stability frame that delivers exceptional lateral and medial support, these shoes are the ultimate ally in every intense rally. Details : Heel type: Flat, Shoe width: Regular fit, Shoe pronation: Neutral, Heel-to-toe-drop: 0 mm, Textile upper, Rubber outsole. Suitable for use on indoor surfaces., Low boot, Lace closure, Variofoam for a lightweight cushioning sensation, Variomesh provides superb breathability and comfort, Stability frame for lateral and medial support.",Badminton,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,3 months,Medium,Indoor,,2,Neutral,,
