Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Heel Type,Type,Heel Height,Fastening and Back Detail,Toe Shape,Pattern,Ornamentation,Ankle Height,Occasion,Sole Material,Warranty
AXIUM,Open Toe Block Heels,₹999,MRP ₹1995,(Rs. 996 OFF),4.3,449 Ratings,"A pair of transparent & beige heels ,has regular ankle and open back
Synthetic patent solid upper
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Sandals,3.5 inches,Open Back,Open Toe,Solid,,Regular,Casual,PVC,
DressBerry,Embellished Pointed Toe Kitten Mules,₹999,MRP ₹2999,(Rs. 2000 OFF),3.7,180 Ratings,"A pair of black pointed toe heels, has regular ankle and backstrap
Synthetic embellished upper 
Cushioned footbed
Textured and patterend outsole, has a kitten",Kitten,Mules,3 inches,Backstrap,Pointed Toe,Embellished,Western - Embellished,Regular,Party,Resin,
Shoetopia,Two Strap Block Heels,₹899,MRP ₹1999,(55% OFF),3.9,2.4k Ratings,"A pair of black & transparent heels ,has regular ankle and open back
Synthetic patent solid upper 
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Sandals,3 inches,Open Back,Open Toe,Textured,,Regular,Casual,Resin,
Vishudh,Women White Solid Heels,₹623,MRP ₹1598,(61% OFF),4.1,4.3k Ratings,"A pair of white open toe heels, has regular styling, backstrap detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a block heel
Warranty: 15 days
Warranty provided by brand/manufacturer",Block,Sandals,2.5 inches,Backstrap,Open Toe,Solid,Buckles,Regular,Casual,Neolite,15 days
Lavie,PU Platform Sandals,₹999,MRP ₹2499,(60% OFF),3.7,468 Ratings,"A pair of beige sandals ,has mid-top ankle and open back
Pu solid upper
Cushioned footbed
Textured and patterend outsole, has a platform",Platform,Sandals,2 inches,Open Back,Open Toe,Solid,,Mid-Top,Casual,TPR,
Mochi,Square Toe Block Pumps With Closed Back,₹1618,MRP ₹2490,(35% OFF),4.5,239 Ratings,"A pair of black pumps ,has regular ankle and closed back
Synthetic solid upper
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Pumps,2.5 inches,Closed Back,Square Toe,Solid,,Regular,Casual,PU,1 month
Vishudh,Women Transparent Solid Block Heels,₹735,MRP ₹1598,(54% OFF),4.1,7.1k Ratings,"A pair of transparent open toe sandals, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has block heels",Block,Sandals,2.5 inches,Open Back,Open Toe,Solid,,Regular,Casual,Neolite,15 days
Vishudh,Women Silver-Toned Solid Sandals,₹489,MRP ₹1398,(65% OFF),4.1,4.5k Ratings,"This model is wearing heels from our stylist's collection, see the image for a mock-up of what the actual heels would look like",Block,Sandals,3 inches,Backstrap,Open Toe,Solid,,Regular,Casual,Neolite,15 days
Monrow,Women Black Solid Sandals,₹1356,MRP ₹2299,(41% OFF),4.4,1.7k Ratings,"A pair of black open toe sandals, has regular styling, ankle loop detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a kitten heel
Warranty: 60 days
Warranty provided by brand/manufacturer",Slim,Sandals,3 inches,Ankle Loop,Open Toe,Solid,,Regular,Casual,Synthetic,2 months
Monrow,Yellow PU Flatform Sandals,₹1701,MRP ₹2299,(26% OFF),4.4,1.3k Ratings,"A pair of yellow sandals ,has regular ankle and open back
Pu solid upper with other
Cushioned footbed
Textured and patterend outsole, has a flatform
Warranty: 1 month",Flatform,Sandals,2 inches,Open Back,Open Toe,Solid,,Regular,Casual,PU,1 month
Roadster,The Lifestyle Co. Women Pointed Toe Block Heels,₹999,MRP ₹2499,(60% OFF),4.3,446 Ratings,"A pair of brown & white block heels, has backstraps
Synthetic patent upper
Cushioned footbed
Rubber out sole material
Block heeled",Block,Peep Toes,3 inches,Backstrap,Pointed Toe,Solid,,Regular,Casual,Rubber,
Mochi,Gold-Toned Embellished Comfort Heels,₹995,MRP ₹1990,(50% OFF),4.4,1.5k Ratings,"A pair of gold-toned Heels,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a comfort
Warranty: 1 month",Comfort,Sandals,2 inches,Open Back,Round Toe,Embellished,Western - Embellished,Regular,Casual,PU,1 month
Mochi,Women Peach-Coloured & Transparent Block Heels,₹1371,MRP ₹2690,(49% OFF),4.5,375 Ratings,"A pair of peach-coloured and transparent sandals ,has regular ankle and open back
Synthetic solid upper
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Sandals,4 inches,Open Back,Open Toe,Solid,,Regular,Casual,Resin,1 month
Mochi,Embellished Open Toe Kitten Heels,₹1259,MRP ₹2290,(45% OFF),4.7,57 Ratings,"A pair of black sandals ,has regular ankle and backstraps
Synthetic embellished upper
Cushioned footbed
Textured and patterend outsole, has a kitten
Warranty: 1 month
Warranty provided by brand/manufacturer",Kitten,Sandals,2 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,1 month
Denill,Textured One Toe Wedge Heels,₹799,MRP ₹2499,(68% OFF),4.2,442 Ratings,"A pair of gold-toned textured one toe wedge heels ,has regular ankle and ankle loop
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Wedge,Sandals,3 inches,Open Back,Open Toe,Textured,,Regular,Ethnic,TPR,
Mochi,Black Embellished Comfort Sandals,₹995,MRP ₹1990,(50% OFF),4.4,1.5k Ratings,"A pair of black sandals ,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterned outsole, has a comfort
Warranty: 1 month",Comfort,Sandals,2 inches,Open Back,Round Toe,Embellished,Western - Embellished,Regular,Casual,PU,1 month
Mochi,Embellished Open Toe Comfort Heels,₹1494,MRP ₹2490,(40% OFF),4.1,65 Ratings,"A pair of gold-toned embellished open toe comfort heels,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Comfort,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,PU,1 month
T.ELEVEN,Embellished Pointed Toe Block Pumps,₹1099,MRP ₹2999,(Rs. 1900 OFF),3.9,42 Ratings,"A pair of maroon emebllished pointed toe block heel pumps, has regular ankle and backstrap back
Synthetic upper
Cushioned footbed
Textured and patterend outsole, has a block",Block,Pumps,4 inches,Closed Back,Pointed Toe,Solid,Western - Embellished,Regular,Casual,Neolite,
Vishudh,Women White Transperant Heels,₹655,MRP ₹1598,(59% OFF),4.1,7.1k Ratings,"A pair of white peep toe heels, has regular styling
Synthetic upper with transparent details
Cushioned footbed
Textured and patterned outsole, has a block heel",Block,Sandals,2.5 inches,Open Back,Peep Toe,Embellished,,Regular,Casual,Neolite,
Shezone,Embellished Comfort Heels,₹799,MRP ₹1499,(Rs. 700 OFF),4,4.6k Ratings,"A pair of rose gold-toned embellished comfort heels,has regular ankle and backstrap
Synthetic upper 
Cushioned footbed
Textured and patterned outsole",Comfort,Sandals,2 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Casual,PVC,
Mochi,Block Sandals,₹1603,MRP ₹2290,(30% OFF),4.2,9 Ratings,"A pair of gold-toned sandals ,has regular ankle and ankle loop
Synthetic woven design upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month",Block,Sandals,2 inches,Ankle Loop,Round Toe,Woven Design,Ethnic - Embellished,Regular,Casual,Synthetic,1 month
Mochi,Women Gold-Toned Embellished Heels,₹1228,MRP ₹1890,(35% OFF),4.3,2.8k Ratings,"A pair of gold-toned open toe sandals, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a wedge heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,PU,1 month
GNIST,Pointed Toe Block Heeled Pumps,₹1499,MRP ₹2999,(Rs. 1500 OFF),4.3,55 Ratings,"A pair of burgundy pumps ,has regular ankle and backstraps
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 14 days
Warranty provided by brand/manufacturer",Block,Pumps,3 inches,Backstrap,Pointed Toe,Solid,,Regular,Casual,Synthetic,14 days
Zyla,Women Rose Gold Solid Sandals,₹799,MRP ₹999,(Rs. 200 OFF),4.1,4.3k Ratings,"This model is wearing heels from our stylist's collection, see the image for a mock-up of what the actual heels would look like",,,,,,,,,,,14 days
Mochi,Women Gold-Toned Embellished Sandals,₹1098,MRP ₹1690,(35% OFF),4.3,1.3k Ratings,"A pair of gold-toned open toe sandals, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a kitten heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Kitten,Sandals,3 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,Resin,1 month
Shezone,Embellished Wedge Heels,₹799,MRP ₹1999,(60% OFF),4.1,740 Ratings,"A pair of rose gold-toned embellished wedge heels ,has regular ankle and backstrap
Synthetic upper 
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Wedge,Sandals,2 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Party,PVC,1 month
Lavie,Women Solid Open Toe Platform Sandals,₹999,MRP ₹2499,(60% OFF),3.7,465 Ratings,"A pair of black sandals ,has regular ankle and open back
Pu solid upper
Cushioned footbed
Textured and patterend outsole, has a platform",Platform,Sandals,2 inches,Open Back,Open Toe,Solid,,Regular,Casual,TPR,
CORSICA,Strappy Block Heels with Buckle Closure,₹1391,MRP ₹2899,(52% OFF),4.1,31 Ratings,"A pair of gold-toned pumps ,has high-top ankle and ankle loop
Synthetic solid upper
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Pumps,4 inches,Ankle Loop,Round Toe,Solid,,High-Top,Party,TPR,
ICONICS,Women Block Heels,₹854,MRP ₹1899,(55% OFF),4.3,1.8k Ratings,"A pair of heels ,has regular ankle and open back
Synthetic woven design upper
Cushioned footbed 
Textured and patterend outsole, has a block heel
Warranty: 15 days
Warranty provided by the brand/manufacturer",Block,Sandals,2.5 inches,Open Back,Open Toe,Woven Design,,Regular,Casual,Resin,15 days
Shoetopia,Lace-Ups Gladiators Heels,₹799,MRP ₹1999,(60% OFF),4.2,2.2k Ratings,"A pair of black heels,has regular ankle and lace-ups
Synthetic solid upper
Cushioned footbed
Textured and Patterned outsole, has a block",Block,Gladiators,2.5 inches,Lace-Ups,Square Toe,Solid,,Regular,Casual,Resin,
Denill,Embellished Open Toe Wedge Heels,₹999,MRP ₹2499,(60% OFF),4,74 Ratings,"A pair of peach-coloured sandals ,has regular ankle and open back
Synthetic leather embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge",Wedge,Sandals,3 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,TPU,
Anouk,Embellished Ethnic Wedge Sandals,₹719,MRP ₹2999,(76% OFF),4.5,11 Ratings,"A pair of gold-toned sandals ,has regular ankle and open back
Synthetic leather embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge",Wedge,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Ethnic,Synthetic,
DressBerry,Peach-Coloured Open Toe Block Heels,₹899,MRP ₹2499,(64% OFF),4.2,453 Ratings,"A pair of Transparent open toe block heels ,has regular ankle and open back
Synthetic upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3 inches,Open Back,Open Toe,Solid,Ethnic - Embellished,Regular,Casual,Resin,
AXIUM,Solid Party Stiletto Sandals,₹1249,MRP ₹2999,(Rs. 1750 OFF),4.4,127 Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic leather solid upper
Cushioned footbed
Textured and patterend outsole, has a stiletto",Stiletto,Sandals,3.5 inches,Open Back,Square Toe,Solid,,Regular,Party,Rubber,
Mochi,Women Gold-Toned Embellished Heels,₹1228,MRP ₹1890,(35% OFF),4.3,2.8k Ratings,"A pair of gold-toned open toe sandals, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a wedge heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,PU,1 month
GNIST,Pointed Toe Block Heeled Pumps,₹1499,MRP ₹2999,(Rs. 1500 OFF),4.3,55 Ratings,"A pair of burgundy pumps ,has regular ankle and backstraps
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 14 days
Warranty provided by brand/manufacturer",Block,Pumps,3 inches,Backstrap,Pointed Toe,Solid,,Regular,Casual,Synthetic,14 days
Zyla,Women Rose Gold Solid Sandals,₹799,MRP ₹999,(Rs. 200 OFF),4.1,4.3k Ratings,"This model is wearing heels from our stylist's collection, see the image for a mock-up of what the actual heels would look like",,,,,,,,,,,14 days
Mochi,Women Gold-Toned Embellished Sandals,₹1098,MRP ₹1690,(35% OFF),4.3,1.3k Ratings,"A pair of gold-toned open toe sandals, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a kitten heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Kitten,Sandals,3 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,Resin,1 month
Shezone,Embellished Wedge Heels,₹799,MRP ₹1999,(60% OFF),4.1,740 Ratings,"A pair of rose gold-toned embellished wedge heels ,has regular ankle and backstrap
Synthetic upper 
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Wedge,Sandals,2 inches,Backstrap,Open Toe,Embellished,Western - Embellished,Regular,Party,PVC,1 month
Lavie,Women Solid Open Toe Platform Sandals,₹999,MRP ₹2499,(60% OFF),3.7,465 Ratings,"A pair of black sandals ,has regular ankle and open back
Pu solid upper
Cushioned footbed
Textured and patterend outsole, has a platform",Platform,Sandals,2 inches,Open Back,Open Toe,Solid,,Regular,Casual,TPR,
CORSICA,Strappy Block Heels with Buckle Closure,₹1391,MRP ₹2899,(52% OFF),4.1,31 Ratings,"A pair of gold-toned pumps ,has high-top ankle and ankle loop
Synthetic solid upper
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Pumps,4 inches,Ankle Loop,Round Toe,Solid,,High-Top,Party,TPR,
ICONICS,Women Block Heels,₹854,MRP ₹1899,(55% OFF),4.3,1.8k Ratings,"A pair of heels ,has regular ankle and open back
Synthetic woven design upper
Cushioned footbed 
Textured and patterend outsole, has a block heel
Warranty: 15 days
Warranty provided by the brand/manufacturer",Block,Sandals,2.5 inches,Open Back,Open Toe,Woven Design,,Regular,Casual,Resin,15 days
Shoetopia,Lace-Ups Gladiators Heels,₹799,MRP ₹1999,(60% OFF),4.2,2.2k Ratings,"A pair of black heels,has regular ankle and lace-ups
Synthetic solid upper
Cushioned footbed
Textured and Patterned outsole, has a block",Block,Gladiators,2.5 inches,Lace-Ups,Square Toe,Solid,,Regular,Casual,Resin,
Denill,Embellished Open Toe Wedge Heels,₹999,MRP ₹2499,(60% OFF),4,74 Ratings,"A pair of peach-coloured sandals ,has regular ankle and open back
Synthetic leather embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge",Wedge,Sandals,3 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,TPU,
Anouk,Embellished Ethnic Wedge Sandals,₹719,MRP ₹2999,(76% OFF),4.5,11 Ratings,"A pair of gold-toned sandals ,has regular ankle and open back
Synthetic leather embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge",Wedge,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Ethnic,Synthetic,
DressBerry,Peach-Coloured Open Toe Block Heels,₹899,MRP ₹2499,(64% OFF),4.2,453 Ratings,"A pair of Transparent open toe block heels ,has regular ankle and open back
Synthetic upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3 inches,Open Back,Open Toe,Solid,Ethnic - Embellished,Regular,Casual,Resin,
AXIUM,Solid Party Stiletto Sandals,₹1249,MRP ₹2999,(Rs. 1750 OFF),4.4,127 Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic leather solid upper
Cushioned footbed
Textured and patterend outsole, has a stiletto",Stiletto,Sandals,3.5 inches,Open Back,Square Toe,Solid,,Regular,Party,Rubber,
Denill,Pointed Toe Block Pumps,₹799,MRP ₹1999,(60% OFF),4,2k Ratings,"A pair of black pumps ,has regular ankle and closed back
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Pumps,3 inches,Closed Back,Pointed Toe,Solid,,Regular,Casual,TPR,
Lavie,Platform Heel Sandals,₹999,MRP ₹2499,(60% OFF),4,578 Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic leather solid upper with bows
Cushioned footbed
Textured and patterend outsole, has a wedge",Platform,Sandals,2 inches,Open Back,Pointed Toe,Solid,Bows,Regular,Casual,TPR,
Mochi,Embellished Comfort Heels,₹1014,MRP ₹1690,(40% OFF),4.3,779 Ratings,"A pair of heels,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterned outsole, has a comfort
Warranty: 1 month
Warranty provided by brand/manufacturer",Comfort,Sandals,2 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,PU,1 month
Metro,Embroidered Block Heels,₹1145,MRP ₹2290,(50% OFF),4.3,91 Ratings,"A pair of gold-toned and white embroidered block heels,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Sandals,2 inches,Open Back,Open Toe,Embellished,Ethnic - Embellished,Regular,Ethnic,Resin,1 month
THE WHITE POLE,Bow Detail Stiletto Heels,₹989,MRP ₹3299,(70% OFF),3,41 Ratings,"A pair of pink bow detail stiletto heels, has regular ankle and closed back
Synthetic upper 
Cushioned footbed
Textured and patterend outsole, has a stiletto",Stiletto,Sandals,3 inches,Closed Back,Pointed Toe,Solid,Bows,Regular,Casual,TPR,
AXIUM,Embellished Party Comfort Sandals,₹1559,MRP ₹3499,(Rs. 1940 OFF),4.6,67 Ratings,"A pair of white sandals ,has regular ankle and open back
Synthetic leather embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a comfort",Comfort,Sandals,2 inches,Open Back,Square Toe,Embellished,Western - Embellished,Regular,Party,Rubber,
Shoetopia,Textured Block Mules With Backstrap,₹999,MRP ₹1999,(50% OFF),4.3,135 Ratings,"A pair of gold-toned mules ,has regular ankle and backstrap
Synthetic textured upper
Cushioned footbed
Textured and patterend outsole, has a block heels",Block,Mules,2 inches,Backstrap,Open Toe,Textured,,Regular,Casual,Resin,
T.ELEVEN,Embellished Pointed Toe Ankle Loop Slim Heel Pumps,₹1099,MRP ₹2499,(Rs. 1400 OFF),4.2,58 Ratings,"A pair of black embellished pointed toe block slim pumps, has regular ankle and ankle loop
Synthetic upper
Cushioned footbed
Textured and patterend outsole, has a block",Slim,Pumps,3 inches,Ankle Loop,Pointed Toe,Embellished,Western - Embellished,Regular,Casual,Neolite,
Metro,Embellished Block Heeled Mules,₹1494,MRP ₹2490,(40% OFF),4.2,109 Ratings,"A pair of black Mules & open back 
Embellished detail
Synthetic upper
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Mules,1 inch,Open Back,Round Toe,Embellished,Ethnic - Embellished,Regular,Casual,Resin,1 month
GNIST,Pointed Toe Stiletto Heeled Pumps,₹1499,MRP ₹3099,(Rs. 1600 OFF),3.9,8 Ratings,"A pair of black pumps ,has regular ankle and backstrap
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a Stiletto
Warranty: 14 days
Warranty provided by brand/manufacturer",Stiletto,Pumps,3.5 inches,Backstrap,Pointed Toe,Solid,,Regular,Casual,Synthetic,14 days
Anouk,Embellished Ethnic Block Heels,₹699,MRP ₹1899,(Rs. 1200 OFF),4,943 Ratings,"A pair of beige heels,has regular ankle and open back
Synthetic embellishedupper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3 inches,Open Back,Open Toe,Embellished,Ethnic - Embellished,Regular,Ethnic,PVC,
Mochi,Gold-Toned Embellished Wedge Sandals,₹1134,MRP ₹1890,(40% OFF),4.3,2.8k Ratings,"A pair of gold-toned sandals ,has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a wedge
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Wedge,Sandals,3.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,PU,1 month
Anouk,Women Textured Ethnic Block Heels Sandals,₹699,MRP ₹1999,(Rs. 1300 OFF),4.1,84 Ratings,"A pair of brown sandals ,has regular ankle and open back
Synthetic textured upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a comfort",Block,Sandals,3 inches,Open Back,Square Toe,Textured,Ethnic - Embellished,Regular,Ethnic,PVC,
Shoetopia,Textured Block Heel Pumps,₹899,MRP ₹1999,(55% OFF),3.9,80 Ratings,"A pair of maroon textured block heel pumps, has regular ankle and close back 
Synthetic patent upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Pumps,2.5 inches,Closed Back,Round Toe,Textured,,Regular,Casual,Resin,
DressBerry,Cream Coloured Bow Detailed Stiletto Heels,₹1099,MRP ₹2999,(Rs. 1900 OFF),3.7,664 Ratings,"A pair of cream-coloured bow detailed stiletto heels, has regular ankle and closed back
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Stiletto,Mules,3 inches,Closed Back,Open Toe,Solid,Bows,Regular,Casual,Resin,
T.ELEVEN,Pointed Heels Slim Heeled Pumps,₹844,MRP ₹1299,(35% OFF),4.1,338 Ratings,"A pair of black pumps, has regular ankle and backstrap detail
Suede solid upper 
Cushioned footbed
Textured and patterend outsole, has a slim heeled",Slim,Pumps,3 inches,Backstrap,Pointed Toe,Solid,,Regular,Casual,Neolite,
Metro,Embellished Ankle Loop Block Heels,₹1618,MRP ₹2490,(35% OFF),4.3,215 Ratings,"A pair of black sandals ,has regular ankle and ankle loop 
Synthetic embellished upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a block
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Block,Sandals,1.5 inches,Ankle Loop,Open Toe,Embellished,Ethnic - Embellished,Regular,Casual,PU,1 month
Shoetopia,Women Flatform Heels,₹899,MRP ₹1999,(55% OFF),3.5,207 Ratings,"A pair of black heels ,has regular ankle and backstrap
Synthetic solid 
Cushioned footbed
Textured and patterend outsole, has a flatform",Flatform,Mules,1 inch,Ankle Loop,Pointed Toe,Solid,,Regular,Casual,PU,
DressBerry,Women Black Shimmer Comfort Wedges,₹804,MRP ₹2299,(65% OFF),4.2,268 Ratings,"A pair of black open toe shimmer comfort wedges, has regular styling, open back detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole, has a wedge heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Solid,,Regular,Casual,TPR,1 month
Metro,Printed Block Heel Mules,₹1194,MRP ₹1990,(40% OFF),4.2,892 Ratings,"A pair of black,red and green printed block heel mules ,has regular ankle and open back
Synthetic upper 
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Block,Mules,2 inches,Open Back,Open Toe,Printed,,Regular,Casual,Resin,1 month
